row_n,id,name,gender,species,birthday,personality,song,phrase,full_id,url
2,admiral,Admiral,male,bird,January,cranky,Steep Hill,aye aye,villager-admiral,https://villagerdb.com/images/villagers/thumb/admiral.98206ee.png
3,agent-s,Agent S,female,squirrel,July,peppy,DJ K.K.,sidekick,villager-agent-s,https://villagerdb.com/images/villagers/thumb/agent-s.96c789b.png
4,agnes,Agnes,female,pig,April,uchi,K.K. House,snuffle,villager-agnes,https://villagerdb.com/images/villagers/thumb/agnes.9f51f32.png
6,al,Al,male,gorilla,October,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png
7,alfonso,Alfonso,male,alligator,June,lazy,Forest Life,it'sa me,villager-alfonso,https://villagerdb.com/images/villagers/thumb/alfonso.11327a1.png
8,alice,Alice,female,koala,August,normal,Surfin' K.K.,guvnor,villager-alice,https://villagerdb.com/images/villagers/thumb/alice.729310b.png
9,alli,Alli,female,alligator,November,snooty,K.K. Chorale,graaagh,villager-alli,https://villagerdb.com/images/villagers/thumb/alli.9b3d167.png
10,amelia,Amelia,female,eagle,November,snooty,K.K. Condor,eaglet,villager-amelia,https://villagerdb.com/images/villagers/thumb/amelia.a5b5497.png
11,anabelle,Anabelle,female,anteater,February,peppy,Aloha K.K.,snorty,villager-anabelle,https://villagerdb.com/images/villagers/thumb/anabelle.1321353.png
13,anchovy,Anchovy,male,bird,March,lazy,K.K. Ragtime,chuurp,villager-anchovy,https://villagerdb.com/images/villagers/thumb/anchovy.489c5a8.png
14,angus,Angus,male,bull,April,cranky,Senor K.K.,macmoo,villager-angus,https://villagerdb.com/images/villagers/thumb/angus.c19901d.png
15,anicotti,Anicotti,female,mouse,February,peppy,Neapolitan,cannoli,villager-anicotti,https://villagerdb.com/images/villagers/thumb/anicotti.2c20797.png
16,ankha,Ankha,female,cat,September,snooty,Marine Song 2001,me meow,villager-ankha,https://villagerdb.com/images/villagers/thumb/ankha.8bffa26.png
17,annalisa,Annalisa,female,anteater,February,normal,King K.K.,gumdrop,villager-annalisa,https://villagerdb.com/images/villagers/thumb/annalisa.3aa1e28.png
18,annalise,Annalise,female,horse,December,snooty,K.K. Sonata,nipper,villager-annalise,https://villagerdb.com/images/villagers/thumb/annalise.22c21bd.png
19,antonio,Antonio,male,anteater,October,jock,K.K. Faire,honk,villager-antonio,https://villagerdb.com/images/villagers/thumb/antonio.2deee10.png
20,apollo,Apollo,male,eagle,July,cranky,K.K. Rock,pah,villager-apollo,https://villagerdb.com/images/villagers/thumb/apollo.c0b4a36.png
21,apple,Apple,female,hamster,September,peppy,I Love You,cheekers,villager-apple,https://villagerdb.com/images/villagers/thumb/apple.6b49f8c.png
22,astrid,Astrid,female,kangaroo,September,snooty,I Love You,my pet,villager-astrid,https://villagerdb.com/images/villagers/thumb/astrid.c0d79fc.png
23,audie,Audie,female,wolf,August,peppy,NA,foxtrot,villager-audie,https://villagerdb.com/images/villagers/thumb/audie.a8a9c8b.png
24,aurora,Aurora,female,penguin,January,normal,K.K. Gumbo,b-b-baby,villager-aurora,https://villagerdb.com/images/villagers/thumb/aurora.e5f2dd3.png
25,ava,Ava,female,chicken,April,normal,K.K. Country,beaker,villager-ava,https://villagerdb.com/images/villagers/thumb/ava.045f29d.png
26,avery,Avery,male,eagle,February,cranky,K.K. Condor,skree-haw,villager-avery,https://villagerdb.com/images/villagers/thumb/avery.d153359.png
27,axel,Axel,male,elephant,March,jock,K.K. Dixie,WHONK,villager-axel,https://villagerdb.com/images/villagers/thumb/axel.39dee06.png
29,baabara,Baabara,female,sheep,March,snooty,K.K. Swing,daahling,villager-baabara,https://villagerdb.com/images/villagers/thumb/baabara.65ef685.png
30,bam,Bam,male,deer,November,jock,DJ K.K.,boosh,villager-bam,https://villagerdb.com/images/villagers/thumb/bam.d07e2b9.png
31,bangle,Bangle,female,tiger,August,peppy,K.K. Soul,growf,villager-bangle,https://villagerdb.com/images/villagers/thumb/bangle.6701bed.png
32,barold,Barold,male,cub,March,lazy,My Place,cubby,villager-barold,https://villagerdb.com/images/villagers/thumb/barold.2eb90dc.png
33,bea,Bea,female,dog,October,normal,K.K. Soul,bingo,villager-bea,https://villagerdb.com/images/villagers/thumb/bea.8f6a99c.png
34,beardo,Beardo,male,bear,September,smug,K.K. Sonata,whiskers,villager-beardo,https://villagerdb.com/images/villagers/thumb/beardo.13376a9.png
35,beau,Beau,male,deer,April,lazy,Mountain Song,saltlick,villager-beau,https://villagerdb.com/images/villagers/thumb/beau.b905798.png
36,becky,Becky,female,chicken,December,snooty,K.K. Aria,chicklet,villager-becky,https://villagerdb.com/images/villagers/thumb/becky.06357d0.png
37,bella,Bella,female,mouse,December,peppy,K.K. Metal,eeks,villager-bella,https://villagerdb.com/images/villagers/thumb/bella.bc524e9.png
39,benedict,Benedict,male,chicken,October,lazy,I Love You,uh-hoo,villager-benedict,https://villagerdb.com/images/villagers/thumb/benedict.c5bf6e4.png
40,benjamin,Benjamin,male,dog,August,lazy,Wandering,alrighty,villager-benjamin,https://villagerdb.com/images/villagers/thumb/benjamin.10404ec.png
41,bertha,Bertha,female,hippo,April,normal,Space K.K.,bloop,villager-bertha,https://villagerdb.com/images/villagers/thumb/bertha.2ab6a08.png
43,bettina,Bettina,female,mouse,June,normal,K.K. Swing,eekers,villager-bettina,https://villagerdb.com/images/villagers/thumb/bettina.3dcf3e5.png
45,bianca,Bianca,female,tiger,December,peppy,K.K. House,glimmer,villager-bianca,https://villagerdb.com/images/villagers/thumb/bianca.4af2dd6.png
46,biff,Biff,male,hippo,March,jock,The K. Funk,squirt,villager-biff,https://villagerdb.com/images/villagers/thumb/biff.ab45180.png
47,big-top,Big Top,male,elephant,October,lazy,K.K. Metal,villain,villager-big-top,https://villagerdb.com/images/villagers/thumb/big-top.712f96b.png
48,bill,Bill,male,duck,February,jock,King K.K.,quacko,villager-bill,https://villagerdb.com/images/villagers/thumb/bill.8510deb.png
49,billy,Billy,male,goat,March,jock,K.K. Sonata,dagnaabit,villager-billy,https://villagerdb.com/images/villagers/thumb/billy.af94e28.png
50,biskit,Biskit,male,dog,May,lazy,K.K. Mambo,dawg,villager-biskit,https://villagerdb.com/images/villagers/thumb/biskit.d9970b1.png
51,bitty,Bitty,female,hippo,October,snooty,K.K. Disco,my dear,villager-bitty,https://villagerdb.com/images/villagers/thumb/bitty.8efdbe9.png
52,blaire,Blaire,female,squirrel,July,snooty,K.K. Island,nutlet,villager-blaire,https://villagerdb.com/images/villagers/thumb/blaire.8fd60b3.png
53,blanche,Blanche,female,ostrich,December,snooty,K.K. Jongara,quite so,villager-blanche,https://villagerdb.com/images/villagers/thumb/blanche.8b2f4c0.png
55,bluebear,Bluebear,female,cub,June,peppy,K.K. Ska,peach,villager-bluebear,https://villagerdb.com/images/villagers/thumb/bluebear.1aa8065.png
56,bob,Bob,male,cat,January,lazy,K.K. Ragtime,pthhhpth,villager-bob,https://villagerdb.com/images/villagers/thumb/bob.aead5ef.png
57,bonbon,Bonbon,female,rabbit,March,peppy,K.K. Disco,deelish,villager-bonbon,https://villagerdb.com/images/villagers/thumb/bonbon.9e6f5e4.png
58,bones,Bones,male,dog,August,lazy,Forest Life,yip yip,villager-bones,https://villagerdb.com/images/villagers/thumb/bones.6a1e8ee.png
59,boomer,Boomer,male,penguin,February,lazy,Aloha K.K.,tu-tutu,villager-boomer,https://villagerdb.com/images/villagers/thumb/boomer.78f716a.png
60,boone,Boone,male,gorilla,September,jock,K.K. Western,baboom,villager-boone,https://villagerdb.com/images/villagers/thumb/boone.9cf0af4.png
61,boots,Boots,male,alligator,August,jock,K.K. Rally,munchie,villager-boots,https://villagerdb.com/images/villagers/thumb/boots.5dd3706.png
62,boris,Boris,male,pig,November,cranky,K.K. House,schnort,villager-boris,https://villagerdb.com/images/villagers/thumb/boris.4c0d705.png
64,boyd,Boyd,male,gorilla,October,cranky,K.K. Groove,uh-oh,villager-boyd,https://villagerdb.com/images/villagers/thumb/boyd.b66164c.png
